,loss
0,28.13302630186081
1,24.585919946432114
2,23.688879132270813
3,22.864062398672104
4,22.05682396888733
5,21.15863475203514
6,20.22631511092186
7,19.948461681604385
8,19.246183142066002
9,18.786718800663948
10,18.21609404683113
11,17.427635237574577
12,17.356787621974945
13,16.79181642830372
14,16.43370223045349
15,15.96607668697834
16,15.93170976638794
17,15.507657065987587
18,15.339105427265167
19,14.846980035305023
20,14.691984996199608
21,14.56161454319954
22,14.168209686875343
23,13.832848712801933
24,14.337548702955246
25,13.947340652346611
26,13.275943547487259
27,13.357151299715042
28,13.043358504772186
29,13.161978363990784
30,12.995600409805775
31,12.429583191871643
32,12.067016407847404
33,11.949825555086136
34,12.184439152479172
35,12.12070880830288
36,11.65745210647583
37,11.770823210477829
38,11.26307812333107
39,10.838544875383377
40,11.205976843833923
41,10.870566263794899
42,11.648346796631813
43,11.030359283089638
44,10.887855380773544
45,10.318849109113216
46,10.41394330561161
47,10.186101913452148
48,9.898911148309708
49,10.158826850354671
50,10.085925966501236
51,9.909387119114399
52,9.927723102271557
53,9.97246789932251
54,9.047350578010082
55,9.317692302167416
56,9.025845520198345
57,9.360054671764374
58,9.476996786892414
59,9.022614255547523
60,8.97417289018631
61,8.682797774672508
62,8.529693804681301
63,8.87707483023405
64,9.007304400205612
65,8.685768492519855
66,8.366936795413494
67,8.315672375261784
68,8.381143070757389
69,8.207030281424522
70,7.8654249757528305
71,7.904196605086327
72,7.91069919615984
73,7.812648810446262
74,7.490102909505367
75,7.576670028269291
76,7.898925848305225
77,7.889596238732338
78,7.620299883186817
79,7.1988125294446945
80,7.07614429295063
81,7.228183567523956
82,7.091597035527229
83,7.164424933493137
84,7.113441549241543
85,6.932186916470528
86,6.887857012450695
87,6.685931988060474
88,6.856334947049618
89,7.36168134957552
90,7.82271146774292
91,6.606932673603296
92,6.33368356525898
93,6.321462564170361
94,6.517923824489117
95,7.059914737939835
96,6.494518950581551
97,6.516295850276947
98,6.224271692335606
99,6.6344346180558205
100,6.413285717368126
101,6.060333505272865
102,6.113131411373615
103,5.944914449006319
104,6.346059650182724
105,6.669039621949196
106,6.485987454652786
107,6.21669115871191
108,5.855180770158768
109,5.848312921822071
110,6.000735856592655
111,6.632303394377232
112,5.5870805233716965
113,6.282489389181137
114,6.993440628051758
115,5.767977997660637
116,5.466474190354347
117,5.524494387209415
118,5.625831663608551
119,5.835233982652426
120,5.442033126950264
121,5.2740321308374405
122,5.4795436561107635
123,5.354332633316517
124,5.157536864280701
125,5.06511552631855
126,5.491628929972649
127,6.3678441606462
128,6.211585655808449
129,5.336894474923611
130,5.040422234684229
131,4.908746536821127
132,4.916966114193201
133,5.136610463261604
134,5.11443604528904
135,5.244397506117821
136,5.213554546236992
137,4.961249865591526
138,5.159918285906315
139,5.64076080173254
140,5.344430349767208
141,4.873517781496048
142,4.926092866808176
143,4.66857972741127
144,4.79535423964262
145,4.913591105490923
146,4.517814755439758
147,4.558916885405779
148,4.73053415864706
149,4.8174299113452435
150,4.864922147244215
151,4.798502571880817
152,4.781744077801704
153,4.560791846364737
154,4.58225654438138
155,4.45018382743001
156,4.555761273950338
157,4.413918051868677
158,4.567266050726175
159,4.357516229152679
160,4.3095478489995
161,4.231743074953556
162,4.266937140375376
163,4.686839934438467
164,5.163153126835823
165,5.1197057366371155
166,4.3260044530034065
167,4.3314384669065475
168,4.611954182386398
169,4.028889440000057
170,3.995944205671549
171,3.973648961633444
172,4.044045757502317
173,4.045602798461914
174,4.0307734832167625
175,4.205300938338041
176,4.237196426838636
177,4.119919616729021
178,4.016737472265959
179,3.9098033644258976
180,4.0555111579597
181,4.268074654042721
182,4.231757387518883
183,4.032085716724396
184,4.292619708925486
185,4.18246802687645
186,3.9478396847844124
187,3.8848312981426716
188,3.5913699492812157
189,3.67132668197155
190,3.8028304502367973
191,3.8303008005023003
192,3.8024370409548283
193,4.244645249098539
194,3.7781407088041306
195,4.057985778898001
196,3.571065317839384
197,3.5598514266312122
198,3.542022440582514
199,3.940684203058481
200,3.5226912200450897
201,3.6794841550290585
202,3.827413834631443
203,3.618888095021248
204,4.797960512340069
205,4.820304494351149
206,3.851514521986246
207,3.4854091070592403
208,3.3138956911861897
209,3.346440479159355
210,3.302312061190605
211,3.3120781034231186
212,3.458435917273164
213,3.475138448178768
214,3.538765337318182
215,3.7225682102143764
216,3.5130395628511906
217,3.5671840868890285
218,4.0395538453012705
219,3.4628629945218563
220,3.322928808629513
221,3.3286131471395493
222,3.732894118875265
223,3.941884722560644
224,3.5157952792942524
225,3.4328351989388466
226,3.1428854167461395
227,3.3122164644300938
228,3.696690320968628
229,3.244002588093281
230,3.2484641298651695
231,3.294674076139927
232,3.4014379270374775
233,3.50672822073102
234,3.3758807331323624
235,3.31932657584548
236,3.4605412743985653
237,3.3419748805463314
238,3.2524991407990456
239,4.367158051580191
240,3.8180601857602596
241,3.411918256431818
242,3.0755300261080265
243,2.992490392178297
244,2.9866971522569656
245,3.0823118072003126
246,3.0500180050730705
247,3.2485419251024723
248,3.0891770236194134
249,3.039304379373789
250,4.051995035260916
251,3.378398787230253
252,3.162769243121147
253,3.2439210265874863
254,3.0478423573076725
255,3.1568629071116447
256,3.383792858570814
257,3.1645278111100197
258,3.121685668826103
259,3.144059780985117
260,3.6359925009310246
261,3.858379729092121
262,3.0201201401650906
263,2.9107545353472233
264,2.95053818449378
265,2.816116888076067
266,2.784743260592222
267,2.8070730548352003
268,2.8683054260909557
269,2.986103978008032
270,3.145979393273592
271,3.639270141720772
272,3.843347731977701
273,3.0594815462827682
274,2.8592667281627655
275,2.741348871961236
276,2.8023544661700726
277,2.8826724030077457
278,2.812885919585824
279,2.8894437812268734
280,2.8422033861279488
