AttuNet,FCN,PoFormer,LRASPP,E-Net,U-Net
4.078889724,12.88084318,2.305890154,4.243781567,4.781744078,5.036990695
4.101314146,12.74976419,2.593168637,3.971554223,4.560791846,6.140175246
5.037500381,12.54436769,2.283804564,4.073097456,4.582256544,5.031491686
5.231075328,12.32470341,2.181534182,3.976571031,4.450183827,4.612024542
5.555556487,12.35717404,2.593301143,3.942307562,4.555761274,6.001880385
4.045482498,12.39942075,3.323547116,3.771253228,4.413918052,6.97320848
3.867646504,12.3567533,2.488402497,3.83304327,4.567266051,5.193729296
4.22586057,11.95783572,2.245488575,4.004187819,4.357516229,5.214259092
5.139742166,12.43378027,3.133754358,4.374304909,4.309547849,5.282232858
3.9978645,12.54460931,2.901206359,4.042525422,4.231743075,4.412387714
3.920630898,12.44002576,3.117318822,4.004114356,4.26693714,4.329740342
4.46845841,12.34123799,2.695179684,3.882874142,4.686839934,4.727346379
5.863374963,12.40698719,2.336606756,3.706115238,5.163153127,4.599311117
4.529416513,12.25606523,2.290612319,3.919091277,5.119705737,4.655194949
3.792689659,11.97138472,2.204378804,4.419735759,4.326004453,5.551128171
4.290512212,12.11891288,2.053099835,3.89961369,4.331438467,5.772343334
3.976224687,12.294652,2.113418976,3.742077503,4.611954182,4.60442967
5.181028254,11.88253362,2.069766048,3.776167322,4.02888944,4.593456164
4.470726088,11.90377845,2.067663755,3.92893184,3.995944206,4.522050411
3.83187313,11.95394352,2.194377635,3.698386695,3.973648962,5.461231031
3.694915779,11.79365753,2.538862048,3.870873835,4.044045758,4.864089265
3.6986099,11.81285198,2.835146643,3.702038825,4.045602798,5.474107563
3.862510178,12.0025534,2.420241805,3.526725214,4.030773483,4.570986595
5.011590067,12.13504229,2.090993511,3.625371974,4.205300938,4.199919481
5.737508059,12.19451016,1.976811763,3.820029762,4.237196427,4.894367348
4.664526761,12.31711757,3.076882813,3.682262421,4.119919617,4.984704483
3.749502074,12.50207593,2.678091241,3.614629436,4.016737472,4.550123699
3.519961894,12.26183552,4.187978271,3.938433841,3.909803364,5.434281483
3.696754254,12.38687794,3.300050534,3.637280155,4.055511158,4.399827559
5.229715582,12.19549757,2.850819375,3.855134681,4.268074654,5.605454933
4.132943872,12.10914089,2.934616014,3.820079666,4.231757388,4.446506586
4.794082168,11.81731273,3.534302425,3.631438382,4.032085717,7.168697909
3.905619293,12.13714308,2.382190928,3.66593013,4.292619709,5.21242648
3.846485697,11.77292193,2.2142008,3.611961063,4.182468027,4.161176458
3.531649176,11.91182847,2.147785118,3.554275531,3.947839685,4.253130514
4.362539511,11.631035,2.082597228,4.070559643,3.884831298,4.179829456
3.785270527,11.59241225,2.507920939,3.606854774,3.591369949,4.12570199
3.99082176,11.29351009,2.56137801,3.600806825,3.671326682,4.510179024
4.313457791,11.76788974,2.20252393,5.159185309,3.80283045,5.413513564
4.078558926,11.67119178,2.076644449,3.787785478,3.830300801,4.105969884
