,loss
0,25.12115842103958
1,18.153607726097107
2,16.13715571165085
3,14.993220001459122
4,13.801453828811646
5,13.569554150104523
6,13.149914175271988
7,12.221281960606575
8,11.508611634373665
9,11.544401541352272
10,10.747106581926346
11,10.422961607575417
12,10.421124264597893
13,9.923238813877106
14,10.162764430046082
15,9.434931881725788
16,9.33401084691286
17,9.315695613622665
18,8.987747944891453
19,8.72195341438055
20,8.534291088581085
21,8.310938566923141
22,8.236531138420105
23,8.376992456614971
24,8.358248107135296
25,7.872043915092945
26,7.558459896594286
27,7.442037649452686
28,7.522178880870342
29,7.243318699300289
30,7.292319297790527
31,7.636107891798019
32,7.7422148287296295
33,7.189085505902767
34,7.040590025484562
35,6.782742969691753
36,6.648980040103197
37,6.904483012855053
38,6.846431501209736
39,7.3289404436945915
40,9.221766106784344
41,6.824892744421959
42,6.466945730149746
43,6.198343709111214
44,7.5112443044781685
45,6.328843556344509
46,7.336064234375954
47,6.43696765601635
48,6.21243654191494
49,6.2189726755023
50,6.128218419849873
51,6.248299390077591
52,6.028119251132011
53,5.916809089481831
54,5.930688634514809
55,5.7466053776443005
56,5.930472403764725
57,7.129198953509331
58,6.241921827197075
59,6.202158987522125
60,5.66689882427454
61,5.53851331025362
62,5.53136084228754
63,5.550633139908314
64,5.954087413847446
65,5.745171830058098
66,5.4502121433615685
67,6.160754010081291
68,5.60451976954937
69,5.5419511422514915
70,5.652262851595879
71,5.386973313987255
72,5.366734325885773
73,5.270558405667543
74,5.1728545576334
75,5.177545737475157
76,5.5880773440003395
77,5.23775290697813
78,5.3533564656972885
79,5.203098677098751
80,5.230460211634636
81,5.150785654783249
82,5.011807918548584
83,4.86133186519146
84,4.948743760585785
85,4.881754703819752
86,4.9312930926680565
87,4.868118204176426
88,4.836743522435427
89,4.820537514984608
90,4.77570128813386
91,4.772539336234331
92,4.94515997171402
93,4.962647031992674
94,4.689464554190636
95,4.905734252184629
96,4.718863371759653
97,4.938579387962818
98,4.751736875623465
99,5.0297689735889435
100,4.864965818822384
101,4.782130673527718
102,4.722123552113771
103,4.785356737673283
104,4.579590018838644
105,4.582813885062933
106,4.35183222964406
107,4.503400694578886
108,4.573638789355755
109,4.5722449123859406
110,4.641274020075798
111,4.799740437418222
112,4.585645612329245
113,4.438025403767824
114,4.357062540948391
115,4.322636552155018
116,4.688145648688078
117,4.664336308836937
118,4.340046182274818
119,4.211189284920692
120,4.196207165718079
121,5.445552673190832
122,4.625567581504583
123,4.439247190952301
124,4.348200161010027
125,4.204935755580664
126,4.281543519347906
127,4.239447809755802
128,4.41365722566843
129,4.298506915569305
130,4.375454869121313
131,4.076432138681412
132,4.128315318375826
133,4.050623018294573
134,3.904911296442151
135,4.238049004226923
136,4.102322485297918
137,4.482621673494577
138,4.219471588730812
139,4.295396618545055
140,4.125040285289288
141,4.8945147804915905
142,4.5843294113874435
143,5.098865732550621
144,4.468293860554695
145,4.345071040093899
146,4.123782999813557
147,3.857611421495676
148,3.898707840591669
149,4.1270085498690605
150,3.9428471848368645
151,3.8174962997436523
152,4.243781566619873
153,3.971554223448038
154,4.0730974562466145
155,3.9765710309147835
156,3.942307561635971
157,3.771253228187561
158,3.8330432698130608
159,4.004187818616629
160,4.374304909259081
161,4.0425254218280315
162,4.004114355891943
163,3.8828741423785686
164,3.706115238368511
165,3.9190912768244743
166,4.419735759496689
167,3.8996136896312237
168,3.7420775033533573
169,3.776167321950197
170,3.928931839764118
171,3.6983866952359676
172,3.870873834937811
173,3.702038824558258
174,3.5267252139747143
175,3.6253719739615917
176,3.8200297616422176
177,3.682262420654297
178,3.6146294362843037
